areaCode,areaName,areaType,date,cumDailyNsoDeathsByDeathDate,hospitalCases,newCasesBySpecimenDate
E07000041,Exeter,ltla,2021-06-25,,,68
E07000041,Exeter,ltla,2021-06-24,,,44
E07000041,Exeter,ltla,2021-06-23,,,45
E07000041,Exeter,ltla,2021-06-22,,,52
E07000041,Exeter,ltla,2021-06-21,,,24
E07000041,Exeter,ltla,2021-06-20,,,25
E07000041,Exeter,ltla,2021-06-19,,,12
E07000041,Exeter,ltla,2021-06-18,,,29
E07000041,Exeter,ltla,2021-06-17,,,28
E07000041,Exeter,ltla,2021-06-16,,,31
E07000041,Exeter,ltla,2021-06-15,,,16
E07000041,Exeter,ltla,2021-06-14,,,19
E07000041,Exeter,ltla,2021-06-13,,,13
E07000041,Exeter,ltla,2021-06-12,,,14
E07000041,Exeter,ltla,2021-06-11,,,14
E07000041,Exeter,ltla,2021-06-10,,,14
E07000041,Exeter,ltla,2021-06-09,,,8
E07000041,Exeter,ltla,2021-06-08,,,4
E07000041,Exeter,ltla,2021-06-07,,,16
E07000041,Exeter,ltla,2021-06-06,,,5
E07000041,Exeter,ltla,2021-06-05,,,5
E07000041,Exeter,ltla,2021-06-04,,,3
E07000041,Exeter,ltla,2021-06-03,,,7
E07000041,Exeter,ltla,2021-06-02,,,3
E07000041,Exeter,ltla,2021-06-01,,,1
E07000041,Exeter,ltla,2021-05-31,,,3
E07000041,Exeter,ltla,2021-05-30,,,4
E07000041,Exeter,ltla,2021-05-29,,,2
E07000041,Exeter,ltla,2021-05-28,,,3
E07000041,Exeter,ltla,2021-05-27,,,3
E07000041,Exeter,ltla,2021-05-26,,,0
E07000041,Exeter,ltla,2021-05-25,,,2
E07000041,Exeter,ltla,2021-05-24,,,2
E07000041,Exeter,ltla,2021-05-23,,,4
E07000041,Exeter,ltla,2021-05-22,,,3
E07000041,Exeter,ltla,2021-05-21,,,1
E07000041,Exeter,ltla,2021-05-20,,,2
E07000041,Exeter,ltla,2021-05-19,,,4
E07000041,Exeter,ltla,2021-05-18,,,2
E07000041,Exeter,ltla,2021-05-17,,,0
E07000041,Exeter,ltla,2021-05-16,,,1
E07000041,Exeter,ltla,2021-05-15,,,1
E07000041,Exeter,ltla,2021-05-14,,,1
E07000041,Exeter,ltla,2021-05-13,,,1
E07000041,Exeter,ltla,2021-05-12,,,1
E07000041,Exeter,ltla,2021-05-11,,,2
E07000041,Exeter,ltla,2021-05-10,,,1
E07000041,Exeter,ltla,2021-05-09,,,1
E07000041,Exeter,ltla,2021-05-08,,,0
E07000041,Exeter,ltla,2021-05-07,,,13
E07000041,Exeter,ltla,2021-05-06,,,1
E07000041,Exeter,ltla,2021-05-05,,,1
E07000041,Exeter,ltla,2021-05-04,,,1
E07000041,Exeter,ltla,2021-05-03,,,0
E07000041,Exeter,ltla,2021-05-02,,,1
E07000041,Exeter,ltla,2021-05-01,,,1
E07000041,Exeter,ltla,2021-04-30,,,0
E07000041,Exeter,ltla,2021-04-29,,,7
E07000041,Exeter,ltla,2021-04-28,,,6
E07000041,Exeter,ltla,2021-04-27,,,0
E07000041,Exeter,ltla,2021-04-26,,,4
E07000041,Exeter,ltla,2021-04-25,,,5
E07000041,Exeter,ltla,2021-04-24,,,1
E07000041,Exeter,ltla,2021-04-23,,,2
E07000041,Exeter,ltla,2021-04-22,,,2
E07000041,Exeter,ltla,2021-04-21,,,2
E07000041,Exeter,ltla,2021-04-20,,,2
E07000041,Exeter,ltla,2021-04-19,,,3
E07000041,Exeter,ltla,2021-04-18,,,1
E07000041,Exeter,ltla,2021-04-17,,,0
E07000041,Exeter,ltla,2021-04-16,,,2
E07000041,Exeter,ltla,2021-04-15,,,3
E07000041,Exeter,ltla,2021-04-14,,,2
E07000041,Exeter,ltla,2021-04-13,,,3
E07000041,Exeter,ltla,2021-04-12,,,2
E07000041,Exeter,ltla,2021-04-11,,,1
E07000041,Exeter,ltla,2021-04-10,,,3
E07000041,Exeter,ltla,2021-04-09,,,5
E07000041,Exeter,ltla,2021-04-08,,,0
E07000041,Exeter,ltla,2021-04-07,,,2
E07000041,Exeter,ltla,2021-04-06,,,3
E07000041,Exeter,ltla,2021-04-05,,,0
E07000041,Exeter,ltla,2021-04-04,,,0
E07000041,Exeter,ltla,2021-04-03,,,2
E07000041,Exeter,ltla,2021-04-02,,,2
E07000041,Exeter,ltla,2021-04-01,,,1
E07000041,Exeter,ltla,2021-03-31,,,3
E07000041,Exeter,ltla,2021-03-30,,,3
E07000041,Exeter,ltla,2021-03-29,,,2
E07000041,Exeter,ltla,2021-03-28,,,2
E07000041,Exeter,ltla,2021-03-27,,,6
E07000041,Exeter,ltla,2021-03-26,,,0
E07000041,Exeter,ltla,2021-03-25,,,5
E07000041,Exeter,ltla,2021-03-24,,,7
E07000041,Exeter,ltla,2021-03-23,,,4
E07000041,Exeter,ltla,2021-03-22,,,3
E07000041,Exeter,ltla,2021-03-21,,,3
E07000041,Exeter,ltla,2021-03-20,,,1
E07000041,Exeter,ltla,2021-03-19,,,0
E07000041,Exeter,ltla,2021-03-18,,,3
E07000041,Exeter,ltla,2021-03-17,,,5
E07000041,Exeter,ltla,2021-03-16,,,3
E07000041,Exeter,ltla,2021-03-15,,,3
E07000041,Exeter,ltla,2021-03-14,,,8
E07000041,Exeter,ltla,2021-03-13,,,1
E07000041,Exeter,ltla,2021-03-12,,,5
E07000041,Exeter,ltla,2021-03-11,,,7
E07000041,Exeter,ltla,2021-03-10,,,5
E07000041,Exeter,ltla,2021-03-09,,,1
E07000041,Exeter,ltla,2021-03-08,,,7
E07000041,Exeter,ltla,2021-03-07,,,7
E07000041,Exeter,ltla,2021-03-06,,,6
E07000041,Exeter,ltla,2021-03-05,,,4
E07000041,Exeter,ltla,2021-03-04,,,7
E07000041,Exeter,ltla,2021-03-03,,,2
E07000041,Exeter,ltla,2021-03-02,,,5
E07000041,Exeter,ltla,2021-03-01,,,5
E07000041,Exeter,ltla,2021-02-28,,,2
E07000041,Exeter,ltla,2021-02-27,,,1
E07000041,Exeter,ltla,2021-02-26,,,9
E07000041,Exeter,ltla,2021-02-25,,,10
E07000041,Exeter,ltla,2021-02-24,,,5
E07000041,Exeter,ltla,2021-02-23,,,9
E07000041,Exeter,ltla,2021-02-22,,,9
E07000041,Exeter,ltla,2021-02-21,,,11
E07000041,Exeter,ltla,2021-02-20,,,5
E07000041,Exeter,ltla,2021-02-19,,,12
E07000041,Exeter,ltla,2021-02-18,,,10
E07000041,Exeter,ltla,2021-02-17,,,15
E07000041,Exeter,ltla,2021-02-16,,,9
E07000041,Exeter,ltla,2021-02-15,,,12
E07000041,Exeter,ltla,2021-02-14,,,3
E07000041,Exeter,ltla,2021-02-13,,,5
E07000041,Exeter,ltla,2021-02-12,,,23
E07000041,Exeter,ltla,2021-02-11,,,29
E07000041,Exeter,ltla,2021-02-10,,,9
E07000041,Exeter,ltla,2021-02-09,,,17
E07000041,Exeter,ltla,2021-02-08,,,4
E07000041,Exeter,ltla,2021-02-07,,,17
E07000041,Exeter,ltla,2021-02-06,,,16
E07000041,Exeter,ltla,2021-02-05,,,7
E07000041,Exeter,ltla,2021-02-04,,,7
E07000041,Exeter,ltla,2021-02-03,,,2
E07000041,Exeter,ltla,2021-02-02,,,5
E07000041,Exeter,ltla,2021-02-01,,,4
E07000041,Exeter,ltla,2021-01-31,,,9
E07000041,Exeter,ltla,2021-01-30,,,6
E07000041,Exeter,ltla,2021-01-29,,,14
E07000041,Exeter,ltla,2021-01-28,,,8
E07000041,Exeter,ltla,2021-01-27,,,12
E07000041,Exeter,ltla,2021-01-26,,,7
E07000041,Exeter,ltla,2021-01-25,,,18
E07000041,Exeter,ltla,2021-01-24,,,16
E07000041,Exeter,ltla,2021-01-23,,,20
E07000041,Exeter,ltla,2021-01-22,,,21
E07000041,Exeter,ltla,2021-01-21,,,10
E07000041,Exeter,ltla,2021-01-20,,,19
E07000041,Exeter,ltla,2021-01-19,,,36
E07000041,Exeter,ltla,2021-01-18,,,45
E07000041,Exeter,ltla,2021-01-17,,,17
E07000041,Exeter,ltla,2021-01-16,,,33
E07000041,Exeter,ltla,2021-01-15,,,41
E07000041,Exeter,ltla,2021-01-14,,,54
E07000041,Exeter,ltla,2021-01-13,,,44
E07000041,Exeter,ltla,2021-01-12,,,55
E07000041,Exeter,ltla,2021-01-11,,,63
E07000041,Exeter,ltla,2021-01-10,,,28
E07000041,Exeter,ltla,2021-01-09,,,46
E07000041,Exeter,ltla,2021-01-08,,,48
E07000041,Exeter,ltla,2021-01-07,,,69
E07000041,Exeter,ltla,2021-01-06,,,69
E07000041,Exeter,ltla,2021-01-05,,,67
E07000041,Exeter,ltla,2021-01-04,,,78
E07000041,Exeter,ltla,2021-01-03,,,28
E07000041,Exeter,ltla,2021-01-02,,,33
E07000041,Exeter,ltla,2021-01-01,,,45
E07000041,Exeter,ltla,2020-12-31,,,34
E07000041,Exeter,ltla,2020-12-30,,,49
E07000041,Exeter,ltla,2020-12-29,,,95
E07000041,Exeter,ltla,2020-12-28,,,41
E07000041,Exeter,ltla,2020-12-27,,,31
E07000041,Exeter,ltla,2020-12-26,,,30
E07000041,Exeter,ltla,2020-12-25,,,5
E07000041,Exeter,ltla,2020-12-24,,,29
E07000041,Exeter,ltla,2020-12-23,,,25
E07000041,Exeter,ltla,2020-12-22,,,34
E07000041,Exeter,ltla,2020-12-21,,,42
E07000041,Exeter,ltla,2020-12-20,,,31
E07000041,Exeter,ltla,2020-12-19,,,19
E07000041,Exeter,ltla,2020-12-18,,,38
E07000041,Exeter,ltla,2020-12-17,,,30
E07000041,Exeter,ltla,2020-12-16,,,24
E07000041,Exeter,ltla,2020-12-15,,,28
E07000041,Exeter,ltla,2020-12-14,,,21
E07000041,Exeter,ltla,2020-12-13,,,19
E07000041,Exeter,ltla,2020-12-12,,,16
E07000041,Exeter,ltla,2020-12-11,,,19
E07000041,Exeter,ltla,2020-12-10,,,22
E07000041,Exeter,ltla,2020-12-09,,,14
E07000041,Exeter,ltla,2020-12-08,,,16
E07000041,Exeter,ltla,2020-12-07,,,28
E07000041,Exeter,ltla,2020-12-06,,,7
E07000041,Exeter,ltla,2020-12-05,,,12
E07000041,Exeter,ltla,2020-12-04,,,16
E07000041,Exeter,ltla,2020-12-03,,,17
E07000041,Exeter,ltla,2020-12-02,,,15
E07000041,Exeter,ltla,2020-12-01,,,23
E07000041,Exeter,ltla,2020-11-30,,,19
E07000041,Exeter,ltla,2020-11-29,,,25
E07000041,Exeter,ltla,2020-11-28,,,10
E07000041,Exeter,ltla,2020-11-27,,,22
E07000041,Exeter,ltla,2020-11-26,,,18
E07000041,Exeter,ltla,2020-11-25,,,19
